Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
500,1000000.0,177000000.0,543000000.0,1700.905,9.295,953.512,4529.0,556.7719999999999,20.3,14853.0,4660.0,2611.0,10661713.0,10676590.0,3.53,2.659
501,1000000.0,177000000.0,633000000.0,1659.2720000000002,8.824,938.3939999999999,4345.085999999999,534.567,19.498,14493.0,4524.0,2397.0,10676809.0,10691323.0,3.711,2.723
502,1000000.0,177000000.0,728000000.0,1627.6889999999999,8.401,916.409,4278.72,512.4,18.746,14257.0,4336.0,2381.0,10691529.0,10705806.0,3.705,2.771
503,1000000.0,177000000.0,825000000.0,1610.0539999999999,8.03,887.063,4311.313,505.32800000000003,18.461,14239.0,4183.0,2403.0,10706002.0,10720260.0,3.941,2.806
504,1100000.0,600000000.0,165000000.0,2188.099,16.502,1526.826,8427.718,955.086,32.7,25639.0,7565.0,4125.0,10720554.0,10746244.0,4.992,2.817
505,1100000.0,600000000.0,206000000.0,2005.434,14.206,1235.463,6553.975,786.373,28.506999999999998,20441.0,6059.0,3401.0,10746672.0,10767157.0,4.995,2.792
506,1100000.0,600000000.0,275000000.0,1831.3729999999998,11.972000000000001,1134.549,4792.198,684.1469999999999,24.434,16363.0,5406.0,2996.0,10767510.0,10783907.0,5.211,2.852
507,1100000.0,600000000.0,413000000.0,1657.2979999999998,9.721,998.6469999999999,3240.127,567.535,21.046999999999997,12403.0,4857.0,2463.0,10784198.0,10796629.0,5.693,2.916
508,1100000.0,600000000.0,543000000.0,1568.601,8.693999999999999,916.7610000000001,2601.625,515.516,18.773,10676.0,4419.0,2370.0,10796873.0,10807572.0,5.718,2.912
509,1100000.0,600000000.0,633000000.0,1528.7879999999998,8.227,906.8989999999999,2283.781,497.533,18.294,9932.0,4186.0,2395.0,10807788.0,10817742.0,5.959,3.002
510,1100000.0,600000000.0,728000000.0,1501.545,7.888999999999999,884.2360000000001,2140.534,487.93199999999996,17.584,9506.0,4096.0,2295.0,10817950.0,10827476.0,6.517,3.052
511,1100000.0,600000000.0,825000000.0,1473.888,7.557,865.3610000000001,2002.787,466.91900000000004,17.104,9076.0,4015.0,2260.0,10827672.0,10836768.0,6.523,3.108
512,1100000.0,543000000.0,165000000.0,2189.692,16.546,1391.878,8380.724,916.722,32.603,25232.0,6881.0,4059.0,10837062.0,10862345.0,4.417,2.768
513,1100000.0,543000000.0,206000000.0,2003.521,14.293,1313.744,6453.738,828.8860000000001,28.576,20523.0,6174.0,3519.0,10862769.0,10883337.0,4.655,2.761
514,1100000.0,543000000.0,275000000.0,1832.125,11.892000000000001,1142.826,4665.634,674.1110000000001,24.596,16161.000000000002,5513.0,2951.0,10883699.0,10899895.0,4.704,2.83
515,1100000.0,543000000.0,413000000.0,1653.911,9.874,1013.798,3218.7540000000004,573.918,20.904,12393.0,4810.0,2562.0,10900189.0,10912609.0,4.869,2.833
516,1100000.0,543000000.0,543000000.0,1567.16,8.817,945.804,2575.856,526.2040000000001,18.901,10788.0,4516.0,2356.0,10912848.0,10923660.0,5.111,2.909
517,1100000.0,543000000.0,633000000.0,1530.38,8.238,913.508,2332.967,503.38699999999994,18.08,10040.0,4291.0,2337.0,10923881.0,10933943.0,5.425,2.982
518,1100000.0,543000000.0,728000000.0,1503.6979999999999,8.013,897.398,2194.905,486.088,17.632,9703.0,4159.0,2270.0,10934149.0,10943873.0,5.579,3.021
519,1100000.0,543000000.0,825000000.0,1473.5079999999998,7.577999999999999,889.575,2074.426,476.023,17.107,9258.0,4075.0,2265.0,10944073.0,10953351.0,5.724,3.03
520,1100000.0,480000000.0,165000000.0,2189.521,16.517,1398.461,8257.773000000001,917.9,31.983,24972.0,6793.0,3918.0,10953656.0,10978680.0,4.138,2.744
521,1100000.0,480000000.0,206000000.0,2008.142,14.235,1271.114,6417.344,801.6030000000001,28.676,20436.0,6283.0,3310.0,10979105.0,10999585.0,4.31,2.778
522,1100000.0,480000000.0,275000000.0,1832.749,11.919,1140.942,4578.181,676.2130000000001,24.56,15977.0,5538.0,2939.0,10999938.0,11015951.0,4.314,2.762
