,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime
528,806400.0,1032750000.0,40800000.0,1364.326416,35.151104,1611.487183,13576.03125,1357.618042,26.287777,35910.0,5884.0,3448.0,6339923.0,6377279.0
529,806400.0,1032750000.0,68000000.0,1293.263306,20.429089,474.483795,6760.113281,760.906006,15.164224,18466.0,3796.0,1716.0,6379459.0,6398723.0
530,806400.0,1032750000.0,102000000.0,1229.95752,16.73632,340.550598,4597.39502,489.369385,10.705152,12960.0,3156.0,1180.0,6399935.0,6413425.0
531,806400.0,1032750000.0,204000000.0,1214.533447,9.284256,257.180664,2335.010742,352.503571,5.877184,7771.0,2608.0,868.0,6414265.0,6422207.0
532,806400.0,1032750000.0,408000000.0,1173.908203,5.5032,207.015091,1251.724487,261.299805,3.35248,5209.0,2368.0,640.0,6422655.0,6427960.0
533,806400.0,1032750000.0,665600000.0,1207.052368,4.45552,190.836411,876.896606,176.760147,2.636576,4197.0,2320.0,452.0,6428245.0,6432521.0
534,806400.0,1032750000.0,800000000.0,1178.360596,4.474976,192.327866,788.118347,156.227112,3.241312,3985.0,2224.0,492.0,6432763.0,6436825.0
535,806400.0,1032750000.0,1062400000.0,1420.434448,4.31584,185.540314,677.354065,153.75209,2.935872,4014.0000000000005,2532.0,428.0,6437057.0,6441143.0
536,806400.0,1032750000.0,1331200000.0,1218.700684,3.82256,180.69429,591.107239,149.343094,2.177184,3599.0,2284.0,420.0,6441363.0,6445031.0
537,806400.0,1032750000.0,1600000000.0,1172.710815,3.790304,184.826645,519.194702,149.322128,2.73504,3443.0,2240.0,416.0,6445244.0,6448755.0
538,806400.0,1032750000.0,1866000000.0,1179.020996,3.856064,183.391663,506.176147,148.888382,2.743904,3404.0,2228.0,432.0,6448966.0,6452435.0
539,806400.0,1122000000.0,40800000.0,1348.3396,33.823551,1514.831299,13139.860352,1209.802979,29.774561,35117.0,5736.0,3484.0,6452668.0,6489211.0
540,806400.0,1122000000.0,68000000.0,1399.645996,21.011936,458.09375,6996.937012,769.185791,16.42384,19338.0,3980.0,1756.0,6491320.0,6511440.0
541,806400.0,1122000000.0,102000000.0,1221.013794,15.458528,336.177673,4638.648438,486.733032,11.00304,13041.0,3084.0,1248.0,6512665.0,6526224.0
542,806400.0,1122000000.0,204000000.0,1194.800781,8.13584,240.638336,2384.958252,341.126862,8.237152,7680.0,2620.0,816.0,6527057.0,6534903.0
543,806400.0,1122000000.0,408000000.0,1178.216309,5.334944,207.390335,1235.465332,258.302368,3.690016,5275.0,2384.0,632.0,6535349.0,6540721.0
544,806400.0,1122000000.0,665600000.0,1172.043213,4.38064,193.832687,851.110291,163.610748,2.85296,4113.0,2220.0,508.0,6541008.0,6545201.0
545,806400.0,1122000000.0,800000000.0,1169.793335,4.17472,183.861786,781.058533,152.049362,2.577856,3944.0,2252.0,432.0,6545443.0,6549463.0
546,806400.0,1122000000.0,1062400000.0,1204.906006,4.24416,189.187454,668.479431,151.278564,2.361024,3752.0,2264.0,448.0,6549694.0,6553517.0
547,806400.0,1122000000.0,1331200000.0,1173.803711,3.66816,182.7621,579.300354,148.169678,2.304032,3541.0,2172.0,480.0,6553738.0,6557348.0
548,806400.0,1122000000.0,1600000000.0,1259.014282,3.66672,184.471146,537.393372,149.701797,2.250016,3548.0,2292.0,468.0,6557561.0,6561177.0
549,806400.0,1122000000.0,1866000000.0,1197.082886,3.787744,182.077408,509.976654,148.685684,2.973984,3388.0,2188.0,484.0,6561388.0,6564841.0
550,806400.0,1236750000.0,40800000.0,1348.628296,34.176735,1510.240723,13001.027344,1223.549438,26.961439,34494.0,5656.0,3348.0,6565074.0,6600986.0
551,806400.0,1236750000.0,68000000.0,1276.645508,20.885569,526.490601,6754.655762,802.303406,20.434561,18770.0,3752.0,1848.0,6603143.0,6622715.0
