,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime
167,499200.0,318750000.0,102000000.0,14.281984,465.522186,35.810818,130.218796,2.368608,7.085024,8411.0,17268.0,780.0,2071837.0,2080589.0
168,499200.0,318750000.0,204000000.0,8.01856,444.77301,15.868512,118.548409,0.72016,4.099392,7431.0,16504.0,392.0,2081509.0,2089118.0
169,499200.0,318750000.0,408000000.0,5.037088,464.419525,10.63056,116.235771,1.031488,2.3656,7343.0,16303.999999999998,244.0,2089659.0,2097138.0
170,499200.0,318750000.0,665600000.0,4.029216,461.40686,8.14512,114.766243,0.427872,2.0272,7106.0,16155.999999999998,244.0,2097535.0,2104756.0
171,499200.0,318750000.0,800000000.0,4.087264,461.857849,7.398144,114.210754,0.409536,1.910208,7082.0,16192.0,244.0,2105112.0,2112307.0
172,499200.0,318750000.0,1062400000.0,3.585536,457.568665,6.902624,113.376686,0.324256,1.86368,7017.0,16184.000000000002,180.0,2112654.0,2119778.0
173,499200.0,318750000.0,1331200000.0,3.459968,459.968994,6.640448,115.137009,0.339616,1.797376,7110.0,16140.0,200.0,2120120.0,2127337.0
174,499200.0,318750000.0,1600000000.0,3.391328,466.339233,6.627776,113.098076,0.31552,2.690176,7010.0,16155.999999999998,212.0,2127663.0,2134775.0
175,499200.0,318750000.0,1866000000.0,4.015072,463.521759,6.365344,113.114059,0.755616,2.6448,6999.0,16219.999999999998,160.0,2135097.0,2142197.0
176,499200.0,420750000.0,40800000.0,117.985634,684.820374,332.471161,357.376221,7.966528,25.391329,23638.0,31128.0,3052.0,2142543.0,2167624.0
177,499200.0,420750000.0,68000000.0,42.144958,521.987183,59.330849,151.242188,2.20272,16.453728,9883.0,18840.0,972.0,2170286.0,2180712.0
178,499200.0,420750000.0,102000000.0,30.400192,496.905609,33.282337,132.100189,1.24,8.669888,8501.0,17452.0,624.0,2182089.0,2190955.0
179,499200.0,420750000.0,204000000.0,17.823904,449.719452,17.100864,118.38546,1.112544,5.423616,7444.0,16620.0,352.0,2191868.0,2199496.0
